frame,torso,joint_right_shoulder_pitch,joint_right_shoulder_roll,joint_right_arm_yaw,joint_right_elbow_pitch,joint_right_forearm_yaw,joint_right_wrist_pitch,joint_right_wrist_roll,hand_right_pinky,hand_right_ring,hand_right_middle,hand_right_index,hand_right_thumb,joint_left_shoulder_pitch,joint_left_shoulder_roll,joint_left_arm_yaw,joint_left_elbow_pitch,joint_left_forearm_yaw,joint_left_wrist_pitch,joint_left_wrist_roll,hand_left_pinky,hand_left_middle,hand_left_ring,hand_left_thumb,hand_left_index,joint_head_yaw,joint_head_pitch
58,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-29.4,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-34.51
59,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-28.97,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-32.78
60,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-28.44,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-30.66
61,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-27.82,0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-28.19
62,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-27.13,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-25.42
63,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-26.38,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-22.4
64,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-25.57,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-19.17
65,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-24.72,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-15.78
66,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-23.84,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-12.28
67,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-22.95,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-8.7
68,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-22.05,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-5.1
69,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-21.16,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,-1.53
70,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-20.28,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,1.98
71,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-19.43,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,5.37
72,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-18.62,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,8.6
73,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-17.87,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,11.62
74,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-17.18,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,14.38
75,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-16.56,0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,16.85
76,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-16.03,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,18.98
77,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-15.6,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,20.71
78,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-15.27,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,22.0
79,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-15.07,-0.0,90.0,90.0,-0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,22.81
80,0.0,60.0,-4.67,-4.41,80.0,90.0,9.68,-15.0,0.0,90.0,90.0,0.0,90.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-8.43,23.09
